image_id,class
data/test_images\AnnualCrop_1007.jpg,AnnualCrop
data/test_images\AnnualCrop_1016.jpg,AnnualCrop
data/test_images\AnnualCrop_1044.jpg,AnnualCrop
data/test_images\AnnualCrop_1066.jpg,AnnualCrop
data/test_images\AnnualCrop_1067.jpg,AnnualCrop
data/test_images\AnnualCrop_1068.jpg,AnnualCrop
data/test_images\AnnualCrop_1078.jpg,AnnualCrop
data/test_images\AnnualCrop_1081.jpg,AnnualCrop
data/test_images\AnnualCrop_1085.jpg,AnnualCrop
data/test_images\AnnualCrop_1100.jpg,AnnualCrop
data/test_images\AnnualCrop_1102.jpg,AnnualCrop
data/test_images\AnnualCrop_1142.jpg,AnnualCrop
data/test_images\AnnualCrop_1157.jpg,AnnualCrop
data/test_images\AnnualCrop_1159.jpg,AnnualCrop
data/test_images\AnnualCrop_116.jpg,AnnualCrop
data/test_images\AnnualCrop_1162.jpg,AnnualCrop
data/test_images\AnnualCrop_1177.jpg,AnnualCrop
data/test_images\AnnualCrop_1179.jpg,AnnualCrop
data/test_images\AnnualCrop_1180.jpg,AnnualCrop
data/test_images\AnnualCrop_1196.jpg,AnnualCrop
data/test_images\AnnualCrop_120.jpg,AnnualCrop
data/test_images\AnnualCrop_1202.jpg,AnnualCrop
data/test_images\AnnualCrop_1213.jpg,AnnualCrop
data/test_images\AnnualCrop_1214.jpg,AnnualCrop
data/test_images\AnnualCrop_1217.jpg,AnnualCrop
data/test_images\AnnualCrop_123.jpg,AnnualCrop
data/test_images\AnnualCrop_1234.jpg,AnnualCrop
data/test_images\AnnualCrop_1238.jpg,AnnualCrop
data/test_images\AnnualCrop_1251.jpg,AnnualCrop
data/test_images\AnnualCrop_1253.jpg,AnnualCrop
data/test_images\AnnualCrop_1261.jpg,AnnualCrop
data/test_images\AnnualCrop_1275.jpg,AnnualCrop
data/test_images\AnnualCrop_1276.jpg,AnnualCrop
data/test_images\AnnualCrop_1280.jpg,AnnualCrop
data/test_images\AnnualCrop_1282.jpg,AnnualCrop
